Vegobjekt_540_id,Art,"ÅDT, total_avg",Vegobjekt_540_lengde_avg,UTM_nord_int_avg,UTM33_øst_int_avg,antall_kollisjoner,frekvens,årsrisiko,samanlikning_yrke
1022805618.0,Rådyr,9000,2598,7091343,325297,5,5.8586220755223256e-05,0.008787933113283488,Kontoryrke
1024046045.0,Rådyr,619,15466,7083040,297759,5,0.00014308973685971962,0.021463460528957944,1-2x høgare risiko enn høyrisikoyrke
1024046622.0,Rådyr,937,10573,7073093,268771,5,0.0001382736148971944,0.02074104223457916,1-2x høgare risiko enn høyrisikoyrke
1024045612.0,Rådyr,1540,6737,7001976,231416,3,7.922114627875698e-05,0.011883171941813547,Kontoryrke
1024046204.0,Rådyr,1500,2843,7087411,238382,3,0.00019273485947219558,0.028910228920829336,1-2x høgare risiko enn høyrisikoyrke
1024045967.0,Rådyr,950,3693,7111658,340150,3,0.00023427474688077817,0.035141212032116724,1-2x høgare risiko enn høyrisikoyrke
1024045907.0,Rådyr,273,24712,7159160,313489,3,0.00012183101093374845,0.018274651640062266,"Bønder, fiskarar mv."
1022805870.0,Rådyr,2500,7382,7164434,382711,7,0.00010391808285982564,0.015587712428973846,"Renhaldarar, hjelpearbeidarar mv."
1024046537.0,Rådyr,500,4923,7064374,307273,3,0.00033390932692227426,0.05008639903834114,>2x høgare risiko enn høgrisikoyrke
1024045665.0,Rådyr,1300,2790,7200990,322084,4,0.00030214789384033747,0.04532218407605062,>2x høgare risiko enn høgrisikoyrke
1024046347.0,Rådyr,300,14781,7167867,321136,3,0.00018535457867514108,0.02780318680127116,1-2x høgare risiko enn høyrisikoyrke
1024045979.0,Rådyr,2100,753,7116929,319979,3,0.0005197734827162323,0.07796602240743485,>2x høgare risiko enn høgrisikoyrke
1024046283.0,Hjort,2200,6262,7059780,204823,4,7.954838789225807e-05,0.011932258183838711,Kontoryrke
1024046349.0,Hjort,1940,6779,7038009,229055,3,6.249726704659311e-05,0.009374590056988968,Kontoryrke
1024046762.0,Rådyr,300,7063,7062725,250639,3,0.00038789834735909105,0.05818475210386366,>2x høgare risiko enn høgrisikoyrke
1022805712.0,Elg,5000,8065,6982710,251380,3,2.0382338703513406e-05,0.003057350805527011,Leiarar
1024046937.0,Rådyr,1200,5986,7025812,261116,6,0.0002288444727194504,0.034326670907917564,1-2x høgare risiko enn høyrisikoyrke
1024045610.0,Rådyr,700,3084,7090188,240530,3,0.0003807290199273569,0.05710935298910354,>2x høgare risiko enn høgrisikoyrke
1022805713.0,Rådyr,8970,5703,7005250,259846,4,2.1422557256021915e-05,0.0032133835884032872,Leiarar
1024045860.0,Rådyr,400,10604,7070511,202509,14,0.0009042852787523964,0.13564279181285946,>5x høgare risiko enn høgrisikoyrke
1024047168.0,Rådyr,200,9746,7070781,206132,5,0.0007027821740707112,0.10541732611060668,>5x høgare risiko enn høgrisikoyrke
1022805916.0,Hjort,1660,9285,7021642,189924,6,0.00010665184916975535,0.015997777375463304,"Renhaldarar, hjelpearbeidarar mv."
1024046183.0,Rådyr,5200,4882,7148393,330871,3,3.2376304171492535e-05,0.00485644562572388,Leiarar
1024045834.0,Rådyr,2300,7883,7065807,201186,4,6.044324390730213e-05,0.009066486586095318,Kontoryrke
1024045735.0,Rådyr,1470,5062,7068259,264421,8,0.0002945490639764617,0.04418235959646925,>2x høgare risiko enn høgrisikoyrke
1024045840.0,Rådyr,160,15254,7063802,207119,4,0.00044901763920893867,0.0673526458813408,>2x høgare risiko enn høgrisikoyrke
1024537870.0,Rådyr,2000,4155,7003632,203329,3,9.890707680134513e-05,0.01483606152020177,"Renhaldarar, hjelpearbeidarar mv."
1024045572.0,Rådyr,3500,4267,7112662,325530,5,9.172473224404099e-05,0.013758709836606148,Sals- og serviceyrke
1022805917.0,Rådyr,2130,32999,6935306,221035,5,1.9489323174804276e-05,0.0029233984762206413,lågare risiko enn dei fleste yrke
1024046277.0,Hjort,1500,13301,7038293,200308,6,8.239158040439847e-05,0.01235873706065977,Sals- og serviceyrke
1022805393.0,Rådyr,11500,1838,7017539,263880,3,3.8885263198144395e-05,0.00583278947972166,Høgskuleyrke
1024046252.0,Rådyr,700,10831,7197713,316128,6,0.00021681623071848744,0.03252243460777311,1-2x høgare risiko enn høyrisikoyrke
1022805621.0,Elg,4980,4610,6954002,231319,4,4.773499250620286e-05,0.007160248875930429,Kontoryrke
1024046449.0,Rådyr,3530,5707,7154098,341926,5,6.799775305504895e-05,0.010199662958257341,Kontoryrke
1024045678.0,Rådyr,1110,3934,7025095,263904,3,0.00018822229127888953,0.02823334369183343,1-2x høgare risiko enn høyrisikoyrke
1024046277.0,Rådyr,1500,13301,7034764,201161,9,0.00012358737060659772,0.01853810559098966,"Bønder, fiskarar mv."
1022805534.0,Rådyr,10500,1958,7049726,294005,3,3.997849157153452e-05,0.005996773735730178,Høgskuleyrke
1024046553.0,Rådyr,1500,3273,7041593,298884,4,0.0002232183340378662,0.03348275010567993,1-2x høgare risiko enn høyrisikoyrke
1024046884.0,Rådyr,2540,6865,7101169,263855,3,4.713615269850939e-05,0.007070422904776409,Kontoryrke
1024046353.0,Rådyr,1200,13696,7008827,218075,3,5.0009601843553965e-05,0.007501440276533095,Kontoryrke
1024046488.0,Rådyr,3200,4965,7035554,303087,3,5.1731986922153704e-05,0.007759798038323056,Kontoryrke
1024046917.0,Rådyr,1300,2674,7057908,207540,6,0.00047288292285782064,0.0709324384286731,>2x høgare risiko enn høgrisikoyrke
1024046726.0,Elg,920,12989,7158082,327509,3,6.878042358744842e-05,0.010317063538117262,Kontoryrke
1024046418.0,Rådyr,1680,1923,7037714,276831,3,0.0002544133076477658,0.038161996147164874,1-2x høgare risiko enn høyrisikoyrke
1024045832.0,Rådyr,4190,6387,7038165,297410,4,4.095021513937746e-05,0.006142532270906619,Høgskuleyrke
1024045494.0,Rådyr,945,16178,7057742,241656,3,5.3761546199272384e-05,0.008064231929890857,Kontoryrke
1024046293.0,Rådyr,478,42706,7132447,292342,5,6.710584471480447e-05,0.01006587670722067,Kontoryrke
1024046317.0,Rådyr,1840,6163,7158661,331358,3,7.248003585732333e-05,0.0108720053785985,Kontoryrke
1022805880.0,Rådyr,55000,631,7036069,268924,4,3.157730617948146e-05,0.004736595926922219,Leiarar
1022805804.0,Rådyr,8600,2883,7058410,303563,4,4.4200179519029115e-05,0.006630026927854367,Høgskuleyrke
1024045911.0,Rådyr,260,59863,7097203,270748,3,5.280761637914123e-05,0.007921142456871184,Kontoryrke
1024046298.0,Rådyr,1500,5669,7134827,316507,6,0.00019331282606436834,0.02899692390965525,1-2x høgare risiko enn høyrisikoyrke
1024045828.0,Rådyr,1420,11843,7083673,258330,5,8.145674771325251e-05,0.012218512156987877,Sals- og serviceyrke
