Vegobjekt_540_id,Art,"ÅDT, total",Vegobjekt_540_lengde,antall_kollisjoner,frekvens
1024046035.0,Rådyr,427.0,2576.785,1,0.00033288948069241014
1024046199.0,Elg,1060.0,1955.554,1,0.0003315649867374005
1022805607.0,Rådyr,3000.0,6052.469,3,0.0003314184710561202
1024047110.0,Elg,500.0,2538.181,1,0.0003291639236339697
1022805899.0,Rådyr,5200.0,3927.944,3,0.00032865907099035934
1024046678.0,Rådyr,816.0,5300.14,2,0.0003270111183780249
1024046433.0,Rådyr,500.0,30114.888,10,0.00032663726931242854
1022805719.0,Rådyr,2800.0,12520.797,5,0.00032634945499641015
1024046100.0,Rådyr,400.0,2665.405,1,0.0003262642740619902
1024046621.0,Rådyr,300.0,8967.465,3,0.0003237293622531564
1024045783.0,Rådyr,866.0,17686.067,6,0.0003234152652005175
1024046346.0,Rådyr,4100.0,2136.149,2,0.00032071840923669016
1013750133.0,Rådyr,100.0,3026.613,1,0.0003197953309881676
1022805391.0,Rådyr,2160.0,4097.935,2,0.00031959092361776926
1024046046.0,Rådyr,3000.0,3321.244,2,0.00031640563202024995
1024047063.0,Rådyr,300.0,2867.439,1,0.00031575623618566466
1024045910.0,Rådyr,350.0,2831.823,1,0.00031426775612822125
1022805621.0,Rådyr,4980.0,4610.356,3,0.00031282586027111576
1024046426.0,Hjort,1900.0,4525.712,2,0.0003112356053532524
1024046426.0,Rådyr,1900.0,4525.712,2,0.0003112356053532524
1024046011.0,Elg,2300.0,7349.897,3,0.000310880829015544
1024046045.0,Elg,619.0,15466.363,5,0.00031084861672365556
1024046045.0,Rådyr,619.0,15466.363,5,0.00031084861672365556
1024046231.0,Hjort,2100.0,1127.057,1,0.0003098853424233034
1024046777.0,Elg,900.0,2339.199,1,0.00030873726458783575
1024045821.0,Rådyr,4500.0,5227.378,3,0.0003084198622391282
1024046460.0,Elg,757.0,2488.408,1,0.0003081664098613251
1024046460.0,Rådyr,757.0,2488.408,1,0.0003081664098613251
1024046282.0,Elg,1330.0,8437.813,3,0.0003071253071253071
1024046675.0,Rådyr,557.0,2715.471,1,0.0003056234718826406
1024045555.0,Rådyr,300.0,2983.538,1,0.0003045066991473812
1024045748.0,Elg,2040.0,11100.656,4,0.00030439083783578115
1024046509.0,Rådyr,1300.0,1990.002,1,0.00030395136778115504
1024046527.0,Rådyr,2400.0,900.132,1,0.00030303030303030303
1024045773.0,Hjort,1100.0,8826.327,3,0.0003022365504735039
1024046916.0,Rådyr,829.0,2483.948,1,0.00030184123151222455
1024045672.0,Rådyr,280.0,3048.651,1,0.00030039050765995795
1024046183.0,Rådyr,5200.0,4881.962,3,0.00029756000793493357
1024046740.0,Rådyr,600.0,2760.502,1,0.0002975304968759298
1024046740.0,Hjort,600.0,2760.502,1,0.0002975304968759298
1024045922.0,Rådyr,550.0,2813.146,1,0.0002973535533749628
1024047145.0,Rådyr,2800.0,579.306,1,0.0002959455460195324
1024046018.0,Rådyr,4870.0,1926.968,2,0.00029424746211563924
1024045819.0,Rådyr,625.0,9575.888,3,0.00029408881482207626
1024045547.0,Rådyr,500.0,2901.647,1,0.00029394473838918284
1015073639.0,Elg,2000.0,1403.681,1,0.0002937720329024677
1024046159.0,Rådyr,300.0,3104.554,1,0.0002936857562408223
1024045553.0,Rådyr,5120.0,5122.737,3,0.0002928829444498682
1024045494.0,Rådyr,945.0,16178.022,5,0.00029200490568241546
1024047105.0,Hjort,2080.0,4778.226,2,0.00029163021289005544
1024045616.0,Rådyr,2000.0,1440.077,1,0.00029069767441860465
1024045616.0,Elg,2000.0,1440.077,1,0.00029069767441860465
1024047165.0,Rådyr,1020.0,2421.211,1,0.0002906131938390003
1024045632.0,Rådyr,1500.0,1964.807,1,0.0002886002886002886
1024045632.0,Elg,1500.0,1964.807,1,0.0002886002886002886
1022805640.0,Rådyr,7200.0,3258.275,3,0.00028686173264486515
1024045490.0,Elg,1210.0,2278.729,1,0.00028661507595299513
1024045839.0,Elg,2000.0,1491.998,1,0.000286368843069874
1024045839.0,Rådyr,2000.0,1491.998,1,0.000286368843069874
1024045832.0,Elg,4190.0,6386.881,3,0.00028363430084144843
1024046001.0,Rådyr,350.0,3178.307,1,0.0002834467120181406
1024046250.0,Elg,300.0,3229.029,1,0.00028336639274582036
1024046970.0,Rådyr,500.0,6566.047,2,0.0002830455703368242
1024046342.0,Rådyr,140.0,6938.125,2,0.00028256569652444194
1024046379.0,Rådyr,450.0,3113.899,1,0.0002805836139169473
1024046571.0,Rådyr,4800.0,2337.255,2,0.00028022978842650974
1024046550.0,Rådyr,160.0,3426.867,1,0.00027878449958182325
